Date,State,HighQ,MedQ,LowQ
2014-04-01,Iowa,370.67,292.42,247.69
2014-04-01,Kansas,351.52,262.21,121.53
2014-04-01,Kentucky,340.74,183.18,125.28
2014-04-01,Louisiana,370.01,244.68,147.94
2014-04-01,Maine,319.58,259.17,216.72
2014-04-01,Montana,268.75,249.82,660.67
2014-04-01,Nebraska,345.01,250.38,140.02
2014-04-01,Nevada,267.82,227.81,252.49
2014-04-01,New Hampshire,361.02,290.22,677.38
2014-04-01,New Jersey,352.68,291.79,232.13
2014-04-01,New Mexico,291.31,213.78,75.24
2014-04-01,New York,350.09,266.54,205.8
2014-04-01,North Carolina,353.87,245.65,151.32
2014-04-01,North Dakota,401.73,364.35,347.51
2014-04-01,Ohio,335.9,215.26,165.02
2014-04-01,Oklahoma,364.77,229.7,121.24
2014-04-01,Oregon,210.81,186.31,165.54
2014-04-01,Maryland,376.53,249.5,190.34
2014-04-01,Massachusetts,350.19,294.3,217.88
2014-04-01,Michigan,295.32,272.58,229.02
2014-04-01,Minnesota,367.91,276.99,186.51
2014-04-01,Mississippi,343.54,147.09,141.39
2014-04-01,Missouri,368.12,244.86,150.52
2014-04-01,Pennsylvania,369.1,267.53,193.44
2014-04-01,Rhode Island,331.58,258.86,201.75
2014-04-01,South Carolina,345.06,202.44,187.5
2014-04-01,South Dakota,388.48,353.75,124.17
2014-04-01,Tennessee,356.58,226.72,190.39
2014-04-01,Texas,340.29,234.45,142.83
2014-04-01,Utah,291.26,242.66,187.19
2014-04-01,Vermont,376.97,319.68,190.36
2014-04-01,Virginia,371.61,287.73,226.79
2014-04-01,Washington,234.15,190.94,143.67
2014-04-01,West Virginia,359.56,215.08,160.12
2014-04-01,Wisconsin,356.18,270.82,242.49
2014-04-01,Wyoming,354.72,370.55,161.3
2014-05-01,Alabama,340.63,205.03,143.76
2014-05-01,Alaska,287.94,257.4,375.82
2014-05-01,Arizona,301.26,208.4,191.43
2014-05-01,Arkansas,352.07,185.34,129.02
2014-05-01,California,246.04,191.89,191.4
2014-05-01,Colorado,236.67,196.35,233.09
2014-05-01,Connecticut,344.77,272.63,249.46
2014-05-01,Delaware,369.2,228.59,209.72
2014-05-01,District of Columbia,347.06,292,211.88
2014-05-01,Florida,304.38,218.02,153.21
2014-05-01,Georgia,329.02,214.86,153.75
2014-05-01,Hawaii,314.53,275.69,165.55
2014-05-01,Idaho,276.49,252.99,139.21
2014-05-01,Illinois,356.65,285.96,189.38
2014-05-01,Indiana,334.97,210.35,156.73
2014-05-01,Iowa,368.87,290.19,247.1
2014-05-01,Kansas,350.31,261.91,118.41
2014-05-01,Kentucky,339.09,182.37,124.69
2014-05-01,Louisiana,370.67,244.38,146.06
2014-05-01,Maine,317.35,257.95,274.25
2014-05-01,Montana,268.22,251.87,645.6
2014-05-01,Nebraska,344.1,250.96,138.35
2014-05-01,Nevada,268.26,227.36,243.46
2014-05-01,New Hampshire,359.59,291.36,677.38
2014-05-01,New Jersey,351.64,290.8,231.39
2014-05-01,New Mexico,290.88,200.99,87.84
2014-05-01,New York,349,266.6,205.21
2014-05-01,North Carolina,352.38,244.04,151.01
2014-05-01,North Dakota,391.23,350.39,334.13
2014-05-01,Ohio,336.15,216.39,164.2
2014-05-01,Oklahoma,366.06,234.98,120.06
2014-05-01,Oregon,210.12,185.73,165.81
2014-05-01,Maryland,374.62,250.55,188.84
2014-05-01,Massachusetts,350.76,293.99,219.16
2014-05-01,Michigan,295.2,277.58,275.43
2014-05-01,Minnesota,367.61,276.61,183.45
2014-05-01,Mississippi,341.5,145.4,140.57
2014-05-01,Missouri,368.41,243.51,142.19
2014-05-01,Pennsylvania,368.33,267.5,196.36
2014-05-01,Rhode Island,329.98,258.55,208.36
2014-05-01,South Carolina,343.28,201.48,186.91
2014-05-01,South Dakota,387.6,355.63,123.94
2014-05-01,Tennessee,355.46,224.95,187.46
2014-05-01,Texas,339.48,234.16,143.05
2014-05-01,Utah,290.18,240.17,204.76
2014-05-01,Vermont,376.44,320.96,190.36
2014-05-01,Virginia,370.43,288.22,222.83
2014-05-01,Washington,233.36,190.41,141.86
2014-05-01,West Virginia,354.78,214.48,156.1
2014-05-01,Wisconsin,355.12,271.96,239.46
2014-05-01,Wyoming,349.95,359.98,161.3
2014-06-01,Alabama,340.52,204.38,144.04
2014-06-01,Alaska,286.09,253.31,359.87
2014-06-01,Arizona,302.29,208.82,187.18
2014-06-01,Arkansas,350.21,184.89,127.16
2014-06-01,California,245.71,192.27,190.06
2014-06-01,Colorado,236.9,196.47,231.56
2014-06-01,Connecticut,343.81,273.11,251.03
2014-06-01,Delaware,368.97,225.17,204.86
2014-06-01,District of Columbia,346.85,291.02,209.83
2014-06-01,Florida,303.16,217.93,152.18
2014-06-01,Georgia,327.17,214.91,144.77
2014-06-01,Hawaii,313.34,276.22,165.55
2014-06-01,Idaho,275.7,251.25,136.89
2014-06-01,Illinois,356.17,285.11,190.37
2014-06-01,Indiana,333.55,210.49,156.38
2014-06-01,Iowa,367.37,288.66,247.1
2014-06-01,Kansas,349.8,260.05,120.31
2014-06-01,Kentucky,339.4,182.96,124.92
2014-06-01,Louisiana,367.56,244.38,144.4
2014-06-01,Maine,317.83,257.14,274.25
2014-06-01,Montana,268,251.91,632.31
2014-06-01,Nebraska,343.86,250.55,134.87
2014-06-01,Nevada,268.16,229.8,238.93
2014-06-01,New Hampshire,359.42,291.77,657.98
2014-06-01,New Jersey,350.9,289.74,224.74
2014-06-01,New Mexico,290.23,201.6,85.81
2014-06-01,New York,347.79,266.21,205.69
2014-06-01,North Carolina,350.83,245.19,152.35
2014-06-01,North Dakota,400.69,362.38,348.9
2014-06-01,Ohio,335.89,216.4,162.89
2014-06-01,Oklahoma,366.05,233.9,118.71
2014-06-01,Oregon,209.54,185.17,163.84
2014-06-01,Maryland,372.43,250.54,187.17
2014-06-01,Massachusetts,350.74,293.25,218.76
2014-06-01,Michigan,294.71,277.32,273.42
2014-06-01,Minnesota,366.38,277.99,181.83
2014-06-01,Mississippi,337.81,145.68,146.82
2014-06-01,Missouri,363.4,244.16,143.53
2014-06-01,Pennsylvania,367.26,266.94,193.82
2014-06-01,Rhode Island,328.47,256.61,203.71
2014-06-01,South Carolina,343.88,201.45,189.58
2014-06-01,South Dakota,383.04,351.01,123.94
2014-06-01,Tennessee,354.51,225.25,187.46
2014-06-01,Texas,338.36,233.42,142.93
2014-06-01,Utah,289.27,239.14,208.27
2014-06-01,Vermont,376.94,321.2,190.36
2014-06-01,Virginia,369.45,288.04,222.77
2014-06-01,Washington,232.6,190.09,141.84
2014-06-01,West Virginia,355.22,215.59,155.8
2014-06-01,Wisconsin,354.59,271.81,237.56
2014-06-01,Wyoming,350.72,359.79,161.3
2015-06-01,Alabama,337.29,206.14,NA
2015-06-01,Alaska,292.84,265,NA
2015-06-01,Arizona,296.71,208.3,NA
2015-06-01,Arkansas,333.9,211.88,NA
2015-06-01,California,241.92,187.87,NA
2015-06-01,Colorado,241.11,194.85,NA
2015-06-01,Connecticut,332.33,264.79,NA
2015-06-01,Delaware,353.64,241.95,NA
2015-06-01,District of Columbia,345.21,282.1,NA
2015-06-01,Florida,297.04,215.84,NA
2015-06-01,Georgia,317.05,216.5,NA
2015-06-01,Hawaii,302.25,259.2,NA
2015-06-01,Idaho,273.11,241.6,NA
2015-06-01,Illinois,348.86,279.44,NA
2015-06-01,Indiana,328.38,218,NA
2015-06-01,Iowa,362.09,287.43,NA
2015-06-01,Kansas,345.95,260.93,NA
2015-06-01,Kentucky,341.26,184.61,NA
2015-06-01,Louisiana,357.81,240.69,NA
2015-06-01,Maine,304.65,232.77,NA
2015-06-01,Montana,264.58,238.3,NA
2015-06-01,Nebraska,330.49,239.47,NA
2015-06-01,Nevada,266.04,224.01,NA
2015-06-01,New Hampshire,349.89,285.17,NA
2015-06-01,New Jersey,342.36,283.22,NA
2015-06-01,New Mexico,282.77,217.46,NA
2015-06-01,New York,338.3,261.05,NA
2015-06-01,North Carolina,341.87,244.13,NA
2015-06-01,North Dakota,383.8,338.38,NA
2015-06-01,Ohio,331.04,219.17,NA
2015-06-01,Oklahoma,348.64,241.46,NA
2015-06-01,Oregon,202.13,178.16,NA
2015-06-01,Maryland,359.38,265.31,NA
2015-06-01,Massachusetts,339.49,280.34,NA
2015-06-01,Michigan,282.48,263.16,NA
2015-06-01,Minnesota,339.88,269.68,NA
2015-06-01,Mississippi,331.4,157.17,NA
2015-06-01,Missouri,347.46,248,NA
2015-06-01,Pennsylvania,358.23,268.27,NA
2015-06-01,Rhode Island,313.23,248.78,NA
2015-06-01,South Carolina,333.84,208.69,NA
2015-06-01,South Dakota,358.78,340.17,NA
2015-06-01,Tennessee,345.24,227,NA
2015-06-01,Texas,326.08,232.33,NA
2015-06-01,Utah,284.97,232.95,NA
2015-06-01,Vermont,364.83,304.7,NA
2015-06-01,Virginia,361.62,289.87,NA
2015-06-01,Washington,231.55,187.19,NA
2015-06-01,West Virginia,357.52,224.12,NA
2015-06-01,Wisconsin,344.94,272.03,NA
2015-06-01,Wyoming,312.84,317.38,NA
2014-07-01,Alabama,340.84,203.63,147.57
2014-07-01,Alaska,288.79,261.18,407.31
2014-07-01,Arizona,300.58,209.17,185.64
2014-07-01,Arkansas,349.29,183.49,126.2
2014-07-01,California,245.39,191.94,188.57
2014-07-01,Colorado,238.09,196.5,230.11
2014-07-01,Connecticut,343.38,271.55,254.19
2014-07-01,Delaware,367.66,227.21,204.86
2014-07-01,District of Columbia,345.75,290.12,209.83
2014-07-01,Florida,302.48,217.74,152.01
2014-07-01,Georgia,326.91,215.62,146.73
2014-07-01,Hawaii,312.12,274.99,165.55
2014-07-01,Idaho,276.83,251.49,136.89
2014-07-01,Illinois,355.82,283.47,190.65
2014-07-01,Indiana,333.04,210.28,155.98
2014-07-01,Iowa,366.98,289.42,246.4
2014-07-01,Kansas,350.11,260.7,122.62
2014-07-01,Kentucky,338.06,173.35,123.41
2014-07-01,Louisiana,366.92,245.24,143.37
2014-07-01,Maine,317.46,246.17,272.95
2014-07-01,Montana,267.42,251.01,609.45
2014-07-01,Nebraska,343.3,250.53,133.37
2014-07-01,Nevada,267.86,229.05,234.33
2014-07-01,New Hampshire,358.5,290.02,643
2014-07-01,New Jersey,349.84,288.34,223.83
2014-07-01,New Mexico,290.39,201.78,96.93
2014-07-01,New York,347.02,265.83,209.44
2014-07-01,North Carolina,350.21,244.96,149.37
2014-07-01,North Dakota,398.95,363.1,335.8
2014-07-01,Ohio,335.43,216.9,162.27
2014-07-01,Oklahoma,365.32,232.09,118.22
2014-07-01,Oregon,208.85,184.86,175.53
2014-07-01,Maryland,371.44,250.8,187.53
2014-07-01,Massachusetts,350.57,292.92,223.24
2014-07-01,Michigan,293.08,276.51,270.6
2014-07-01,Minnesota,358.83,278.2,181.2
2014-07-01,Mississippi,335.64,145.88,148.49
2014-07-01,Missouri,356.92,244.08,146.19
2014-07-01,Pennsylvania,366.82,266.84,192.02
2014-07-01,Rhode Island,324.61,256.1,199.96
2014-07-01,South Carolina,343.23,202.04,188.56
2014-07-01,South Dakota,378.21,351.27,123.94
2014-07-01,Tennessee,353.29,224.92,186.57
2014-07-01,Texas,337.88,232.73,144.18
2014-07-01,Utah,289.31,238.86,204.58
2014-07-01,Vermont,375.8,319.57,190.36
2014-07-01,Virginia,368.76,291.44,222.18
2014-07-01,Washington,232.05,189.94,138.47
2014-07-01,West Virginia,354.4,215.1,155.8
2014-07-01,Wisconsin,353.39,271.85,237.56
2014-07-01,Wyoming,351.78,360.09,161.3
2014-08-01,Alabama,340.63,203.54,145.79
2014-08-01,Alaska,288.34,260.56,403.33
2014-08-01,Arizona,300.71,209.04,185.64
2014-08-01,Arkansas,348.99,181.6,126.2
2014-08-01,California,245.36,191.58,188.03
2014-08-01,Colorado,238.05,196.73,227.49
2014-08-01,Connecticut,341.77,272.99,254.44
2014-08-01,Delaware,367.27,229.23,204.86
2014-08-01,District of Columbia,346.37,287.5,209.83
2014-08-01,Florida,301.71,217.68,151.86
2014-08-01,Georgia,326.73,216.59,145.62
2014-08-01,Hawaii,309.87,265.58,174.23
2014-08-01,Idaho,276.41,249.07,165.19
2014-08-01,Illinois,355.78,283.21,194
2014-08-01,Indiana,333.19,211.1,154.32
2014-08-01,Iowa,367.18,290.62,249.3
2014-08-01,Kansas,351.17,262.43,121.73
2014-08-01,Kentucky,338.53,182.44,123.13
2014-08-01,Louisiana,366.72,244.27,144.49
2014-08-01,Maine,317.67,246.02,272.95
2014-08-01,Montana,266.9,242.91,588.04
2014-08-01,Nebraska,341.38,250.49,133.37
2014-08-01,Nevada,269.23,229.52,235.3
2014-08-01,New Hampshire,358.27,290.65,617.09
2014-08-01,New Jersey,349.49,288.25,226.25
2014-08-01,New Mexico,289.74,201.4,94.88
2014-08-01,New York,347.23,265.5,208.24
2014-08-01,North Carolina,349.71,245.04,149.12
2014-08-01,North Dakota,405.04,364.95,336.51
2014-08-01,Ohio,334.88,217.48,165.61
2014-08-01,Oklahoma,363.94,233.22,121.66
2014-08-01,Oregon,208.9,183.83,175.2
2014-08-01,Maryland,370.48,252.06,187.53
2014-08-01,Massachusetts,350.48,289.2,221.53
2014-08-01,Michigan,291.98,275.53,266.25
2014-08-01,Minnesota,357.83,276.29,184.7
2014-08-01,Mississippi,335.65,145.64,146.12
2014-08-01,Missouri,357.47,245.39,145.81
2014-08-01,Pennsylvania,366.07,267.35,193.19
2014-08-01,Rhode Island,322.31,257.96,199.96
2014-08-01,South Carolina,342.14,201.6,186.16
2014-08-01,South Dakota,377.37,351.5,123.94
2014-08-01,Tennessee,353.14,225.61,184.16
2014-08-01,Texas,337.48,233.23,144.12
2014-08-01,Utah,287.32,238.33,207.35
2014-08-01,Vermont,375.27,317.09,190.36
2014-08-01,Virginia,367.63,291.99,224.07
2014-08-01,Washington,232.89,190.1,138.02
2014-08-01,West Virginia,354.37,214.93,145.37
2014-08-01,Wisconsin,353.19,271.83,250.79
2014-08-01,Wyoming,349.69,349.9,161.3
2014-09-01,Alabama,340.88,205.01,NA
2014-09-01,Alaska,291.32,261.71,NA
2014-09-01,Arizona,300.33,209.22,NA
2014-09-01,Arkansas,346.86,179.89,NA
2014-09-01,California,245.11,191.35,NA
2014-09-01,Colorado,238.51,197.02,NA
2014-09-01,Connecticut,341.04,271.62,NA
2014-09-01,Delaware,365.67,229.55,NA
2014-09-01,District of Columbia,348.73,288.14,NA
2014-09-01,Florida,302.59,217.65,NA
2014-09-01,Georgia,326.91,216.83,NA
2014-09-01,Hawaii,310,267.11,NA
2014-09-01,Idaho,277.06,248.83,NA
2014-09-01,Illinois,355.94,283.33,NA
2014-09-01,Indiana,332.77,211.55,NA
2014-09-01,Iowa,365.66,289.14,NA
2014-09-01,Kansas,351.23,261.64,NA
2014-09-01,Kentucky,337.94,183.4,NA
2014-09-01,Louisiana,366.52,244.78,NA
